,driver,avg_points,avg_finish,std_finish,total_races,wins,podiums,dnf,dnf_rate,finish_quality,consistecy,norm_points,norm_finish,norm_consistency,norm_realibility,rating,team,team_base_rating,combined_base_rating
0,VER,16.0,3.9444444444444446,4.4519952198883255,18,6,12,0.0,0.0,0.2535211267605634,0.2246183903191801,1.0,1.0,0.2279751486898121,0.5,0.7705950297379625,Red Bull Racing,0.8165500912202837,1.5871451209582461
1,RUS,12.27777777777778,4.555555555555555,2.812204959107025,18,2,7,0.0,0.0,0.2195121951219512,0.355592858465599,0.7673611111111112,0.8228541540494412,0.6746592932945085,0.5,0.7225898416157064,Mercedes,0.6062474637317634,1.3288373053474698
2,NOR,15.833333333333334,4.944444444444445,6.338233398540881,18,6,13,0.0,0.0,0.2022471910112359,0.1577726689948352,0.9895833333333334,0.7329241382808735,0.0,0.5,0.6540643679035517,McLaren,2.231750679580413,2.885815047483965
3,PIA,14.88888888888889,4.777777777777778,5.856675985127677,18,4,12,0.0,0.0,0.2093023255813953,0.1707453174017786,0.9305555555555556,0.7696729487112185,0.0442427935682473,0.5,0.6484890181136762,McLaren,2.231750679580413,2.8802396976940896
4,LEC,10.27777777777778,5.777777777777778,4.399940581892329,18,0,5,0.0,0.0,0.173076923076923,0.2272757964313053,0.6423611111111112,0.5809819413092551,0.2370381454162805,0.5,0.5245975588550144,Ferrari,0.4134207213336278,0.9380182801886421
5,HAM,6.277777777777778,7.555555555555555,3.7608231611807015,18,0,0,0.0,0.0,0.1323529411764706,0.2658992345936447,0.3923611111111111,0.3688587173018191,0.3687621194197488,0.5,0.397911547653849,Ferrari,0.4134207213336278,0.8113322689874768
6,DOO,0.0,16.25,2.217355782608345,4,0,0,0.0,0.0,0.0615384615384615,0.4509876168016973,0.0,0.0,1.0,0.5,0.275,Alpine,-0.8670721942929358,-0.5920721942929358
7,ANT,5.055555555555555,10.444444444444445,6.080075678923571,18,0,2,0.0,0.0,0.0957446808510638,0.1644716370005845,0.3159722222222222,0.17817347869939,0.0228466115246001,0.5,0.2505015808686564,Mercedes,0.6062474637317634,0.8567490446004198
8,COL,0.0,16.0,2.660248687044705,14,0,0,0.0,0.0,0.0625,0.3759047057780562,0.0,0.0050084650112866,0.7439321849543034,0.5,0.2250385532436823,Alpine,-0.8670721942929358,-0.6420336410492535
9,HAD,2.555555555555556,11.055555555555555,4.425490630456857,18,0,1,0.0,0.0,0.0904522613065326,0.2259636464074418,0.1597222222222222,0.1506063046610025,0.2325631006285644,0.5,0.2230530851798524,Racing Bulls,-0.6200865530774803,-0.3970334678976279
10,TSU,0.7222222222222222,12.72222222222222,3.2504398897878706,18,0,0,0.0,0.0,0.0786026200873362,0.3076506669579611,0.0451388888888888,0.0888838506806509,0.5111540154557506,0.5,0.2175073213168684,Red Bull Racing,0.8165500912202837,1.034057412537152
11,BEA,1.3888888888888888,11.72222222222222,3.76993611360373,18,0,0,0.0,0.0,0.0853080568720379,0.2652564844246358,0.0868055555555555,0.1238111540230869,0.3665700409673492,0.5,0.2139890189214637,Haas F1 Team,-0.7245505469587858,-0.5105615280373221
12,ALO,2.4444444444444446,11.38888888888889,4.654395631315676,18,0,0,0.0,0.0,0.0878048780487804,0.2148506657388139,0.1527777777777778,0.1368166051863678,0.1946626431254636,0.5,0.2092477910327958,Aston Martin,-0.6155829401284632,-0.40633514909566737
13,ALB,2.555555555555556,11.72222222222222,4.8362060428489695,18,0,0,0.0,0.0,0.0853080568720379,0.2067736550386733,0.1597222222222222,0.1238111540230869,0.1671162620130626,0.5,0.2032649297972731,Williams,-0.5744829663107149,-0.3712180365134419
14,SAI,2.0,12.166666666666666,4.617740725913995,18,0,1,0.0,0.0,0.0821917808219178,0.2165561168014838,0.125,0.1075790840780482,0.2004790282566655,0.5,0.1919905766708451,Williams,-0.5744829663107149,-0.38249238963986987
15,OCO,1.3333333333333333,12.555555555555555,4.076073979329537,18,0,0,0.0,0.0,0.079646017699115,0.245334114412832,0.0833333333333333,0.0943187039293633,0.2986254489169926,0.5,0.1916380990990727,Haas F1 Team,-0.7245505469587858,-0.5329124478597131
16,HUL,2.5,12.72222222222222,5.464382593137399,18,0,1,0.0,0.0,0.0786026200873362,0.1830032913976189,0.15625,0.0888838506806509,0.0860482134062375,0.5,0.1769306053514102,Kick Sauber,-0.6661937550977076,-0.4892631497462974
17,STR,1.588235294117647,13.588235294117649,4.514681931340952,17,0,0,0.0,0.0,0.0735930735930736,0.2214995464149962,0.0992647058823529,0.0627901068081655,0.2173384334489566,0.5,0.1738710957447738,Aston Martin,-0.6155829401284632,-0.4417118443836894
18,BOR,0.9444444444444444,13.88888888888889,4.10005579429596,18,0,0,0.0,0.0,0.072,0.2438991199561748,0.0590277777777777,0.054492099322799,0.2937314472046298,0.5,0.1709804253827368,Kick Sauber,-0.6661937550977076,-0.4952133297149708
19,LAW,1.4444444444444444,13.5,4.514681931340952,18,0,0,0.0,0.0,0.074074074074074,0.2214995464149962,0.0902777777777777,0.0652955438508485,0.2173384334489566,0.5,0.1709026837636145,Racing Bulls,-0.6200865530774803,-0.4491838693138658
20,GAS,1.0,14.555555555555555,4.43544841187214,18,0,0,0.0,0.0,0.0687022900763358,0.2254563478459924,0.0625,0.0373149759619526,0.2308329754584674,0.5,0.1554953390821816,Alpine,-0.8670721942929358,-0.7115768552107542
