year,gp,driver,team,finish_position,points,avg_lap_time,fastest_lap,laps_completed,round_number
2025,Australian Grand Prix,NOR,McLaren,1.0,25.0,0 days 00:01:43.428301886,0 days 00:01:22.167000,57,1
2025,Australian Grand Prix,VER,Red Bull Racing,2.0,18.0,0 days 00:01:43.341150943,0 days 00:01:23.081000,57,1
2025,Australian Grand Prix,RUS,Mercedes,3.0,15.0,0 days 00:01:43.686339622,0 days 00:01:25.065000,57,1
2025,Australian Grand Prix,ANT,Mercedes,4.0,12.0,0 days 00:01:44.579370370,0 days 00:01:24.901000,57,1
2025,Australian Grand Prix,ALB,Williams,5.0,10.0,0 days 00:01:44.672388888,0 days 00:01:24.597000,57,1
2025,Australian Grand Prix,STR,Aston Martin,6.0,8.0,0 days 00:01:44.730129629,0 days 00:01:25.538000,57,1
2025,Australian Grand Prix,HUL,Kick Sauber,7.0,6.0,0 days 00:01:44.740166666,0 days 00:01:25.243000,57,1
2025,Australian Grand Prix,LEC,Ferrari,8.0,4.0,0 days 00:01:43.933528301,0 days 00:01:25.271000,57,1
2025,Australian Grand Prix,PIA,McLaren,9.0,2.0,0 days 00:01:42.084461538,0 days 00:01:23.242000,57,1
2025,Australian Grand Prix,HAM,Ferrari,10.0,1.0,0 days 00:01:43.967188679,0 days 00:01:24.218000,57,1
2025,Australian Grand Prix,GAS,Alpine,11.0,0.0,0 days 00:01:44.889166666,0 days 00:01:25.020000,57,1
2025,Australian Grand Prix,TSU,Racing Bulls,12.0,0.0,0 days 00:01:44.085698113,0 days 00:01:24.194000,57,1
2025,Australian Grand Prix,OCO,Haas F1 Team,13.0,0.0,0 days 00:01:43.848698113,0 days 00:01:26.764000,57,1
2025,Australian Grand Prix,BEA,Haas F1 Team,14.0,0.0,0 days 00:01:43.870075471,0 days 00:01:27.603000,57,1
2025,Australian Grand Prix,LAW,Red Bull Racing,15.0,0.0,0 days 00:01:41.752523809,0 days 00:01:22.970000,47,1
2025,Australian Grand Prix,BOR,Kick Sauber,16.0,0.0,0 days 00:01:42.655634146,0 days 00:01:24.192000,46,1
2025,Australian Grand Prix,ALO,Aston Martin,17.0,0.0,0 days 00:01:38.517379310,0 days 00:01:28.819000,33,1
2025,Australian Grand Prix,SAI,Williams,18.0,0.0,,,1,1
2025,Australian Grand Prix,DOO,Alpine,19.0,0.0,,,1,1
2025,Australian Grand Prix,HAD,Racing Bulls,20.0,0.0,,,1,1
