year,gp,driver,team,finish_position,points,avg_lap_time,fastest_lap,laps_completed,round_number,is_win,is_podium,is_tops,cumulative_points,cumulative_wins,cumulative_podiums,points_momentum,avg_finish_lastN,consistency_score,race_leader_points,points_gap_to_leader
2025,Australian Grand Prix,ALB,Williams,5.0,10.0,0 days 00:01:44.672388888,0 days 00:01:24.597000,57,1,0,0,1,10.0,0,0,10.0,5.0,5.0,25.0,15.0
2025,Japanese Grand Prix,ALB,Williams,9.0,2.0,0 days 00:01:33.723584905,0 days 00:01:31.125000,53,3,0,0,0,12.0,0,0,6.0,7.0,7.0,43.0,31.0
2025,Bahrain Grand Prix,ALB,Williams,12.0,0.0,0 days 00:01:40.663357142,0 days 00:01:37.141000,57,4,0,0,0,12.0,0,0,4.0,8.666666666666666,8.666666666666666,58.0,46.0
2025,Saudi Arabian Grand Prix,ALB,Williams,9.0,2.0,0 days 00:01:35.926666666,0 days 00:01:33.477000,50,5,0,0,0,14.0,0,0,1.3333333333333333,10.0,8.75,70.0,56.0
2025,Emilia Romagna Grand Prix,ALB,Williams,5.0,10.0,0 days 00:01:27.478476190,0 days 00:01:18.289000,63,7,0,0,1,24.0,0,0,4.0,8.666666666666666,8.0,94.0,70.0
2025,Monaco Grand Prix,ALB,Williams,9.0,2.0,0 days 00:01:19.548842105,0 days 00:01:14.597000,76,8,0,0,0,26.0,0,0,4.666666666666667,7.666666666666667,8.8,113.0,87.0
2025,Spanish Grand Prix,ALB,Williams,19.0,0.0,0 days 00:01:25.301777777,0 days 00:01:20.508000,27,9,0,0,0,26.0,0,0,4.0,11.0,10.8,131.0,105.0
2025,Canadian Grand Prix,ALB,Williams,20.0,0.0,0 days 00:01:18.327826086,0 days 00:01:16.197000,47,10,0,0,0,26.0,0,0,0.6666666666666666,16.0,12.4,134.0,108.0
2025,Austrian Grand Prix,ALB,Williams,17.0,0.0,0 days 00:01:20.015200,0 days 00:01:10.641000,15,11,0,0,0,26.0,0,0,0.0,18.666666666666668,14.0,156.0,130.0
2025,British Grand Prix,ALB,Williams,8.0,4.0,0 days 00:01:48.297744680,0 days 00:01:30.047000,52,12,0,0,0,30.0,0,0,1.3333333333333333,15.0,14.6,181.0,151.0
2025,Hungarian Grand Prix,ALB,Williams,15.0,0.0,0 days 00:01:23.468724637,0 days 00:01:20.779000,69,14,0,0,0,30.0,0,0,1.3333333333333333,13.333333333333334,15.8,206.0,176.0
2025,Dutch Grand Prix,ALB,Williams,5.0,10.0,0 days 00:01:22.169111111,0 days 00:01:13.687000,72,15,0,0,1,40.0,0,0,4.666666666666667,9.333333333333334,13.0,213.0,173.0
2025,Italian Grand Prix,ALB,Williams,7.0,6.0,0 days 00:01:24.054000,0 days 00:01:21.368000,53,16,0,0,0,46.0,0,0,5.333333333333333,9.0,10.4,228.0,182.0
2025,Azerbaijan Grand Prix,ALB,Williams,13.0,0.0,0 days 00:01:47.852062500,0 days 00:01:44.152000,51,17,0,0,0,46.0,0,0,5.333333333333333,8.333333333333334,9.6,230.0,184.0
2025,Singapore Grand Prix,ALB,Williams,14.0,0.0,0 days 00:01:39.142409836,0 days 00:01:35.648000,61,18,0,0,0,46.0,0,0,2.0,11.333333333333334,10.8,245.0,199.0
2025,Mexico City Grand Prix,ALB,Williams,12.0,0.0,0 days 00:01:24.014628571,0 days 00:01:20.480000,70,20,0,0,0,46.0,0,0,0.0,13.0,10.2,270.0,224.0
2025,Las Vegas Grand Prix,ALB,Williams,16.0,0.0,0 days 00:01:41.942885714,0 days 00:01:35.184000,35,22,0,0,0,46.0,0,0,0.0,14.0,12.4,270.0,224.0
2025,Abu Dhabi Grand Prix,ALB,Williams,16.0,0.0,0 days 00:01:30.565448275,0 days 00:01:28.367000,58,24,0,0,0,46.0,0,0,0.0,14.666666666666666,14.2,288.0,242.0
2025,Australian Grand Prix,ALO,Aston Martin,17.0,0.0,0 days 00:01:38.517379310,0 days 00:01:28.819000,33,1,0,0,0,0.0,0,0,0.0,17.0,17.0,25.0,25.0
2025,Japanese Grand Prix,ALO,Aston Martin,11.0,0.0,0 days 00:01:34.043698113,0 days 00:01:31.770000,53,3,0,0,0,0.0,0,0,0.0,14.0,14.0,43.0,43.0
2025,Bahrain Grand Prix,ALO,Aston Martin,15.0,0.0,0 days 00:01:40.858357142,0 days 00:01:37.906000,57,4,0,0,0,0.0,0,0,0.0,14.333333333333334,14.333333333333334,58.0,58.0
2025,Saudi Arabian Grand Prix,ALO,Aston Martin,11.0,0.0,0 days 00:01:36.135208333,0 days 00:01:33.009000,50,5,0,0,0,0.0,0,0,0.0,12.333333333333334,13.5,70.0,70.0
2025,Emilia Romagna Grand Prix,ALO,Aston Martin,11.0,0.0,0 days 00:01:27.626174603,0 days 00:01:19.894000,63,7,0,0,0,0.0,0,0,0.0,12.333333333333334,13.0,94.0,94.0
2025,Monaco Grand Prix,ALO,Aston Martin,19.0,0.0,0 days 00:01:20.752833333,0 days 00:01:15.593000,37,8,0,0,0,0.0,0,0,0.0,13.666666666666666,13.4,113.0,113.0
2025,Spanish Grand Prix,ALO,Aston Martin,9.0,2.0,0 days 00:01:24.832409090,0 days 00:01:18.128000,66,9,0,0,0,2.0,0,0,0.6666666666666666,13.0,13.0,131.0,129.0
2025,Canadian Grand Prix,ALO,Aston Martin,7.0,6.0,0 days 00:01:18.909428571,0 days 00:01:15.024000,70,10,0,0,0,8.0,0,0,2.6666666666666665,11.666666666666666,11.4,134.0,126.0
2025,Austrian Grand Prix,ALO,Aston Martin,7.0,6.0,0 days 00:01:12.885942028,0 days 00:01:09.935000,69,11,0,0,0,14.0,0,0,4.666666666666667,7.666666666666667,10.6,156.0,142.0
2025,British Grand Prix,ALO,Aston Martin,9.0,2.0,0 days 00:01:48.271000,0 days 00:01:30.353000,52,12,0,0,0,16.0,0,0,4.666666666666667,7.666666666666667,10.2,181.0,165.0
